Day,twitter,linkedin,instagram,tiktok
5/13/2022,57,18,55,22
5/14/2022,54,10,59,24
5/15/2022,54,9,61,22
5/16/2022,55,19,59,21
5/17/2022,54,22,55,23
5/18/2022,54,20,54,21
5/19/2022,51,21,56,22
5/20/2022,50,18,56,25
5/21/2022,52,10,61,24
5/22/2022,46,9,59,24
5/23/2022,46,19,59,22
5/24/2022,49,21,57,23
5/25/2022,53,20,65,22
5/26/2022,53,19,69,22
5/27/2022,53,17,54,24
5/28/2022,46,9,59,23
5/29/2022,46,7,58,23
5/30/2022,47,9,62,25
5/31/2022,48,19,59,21
6/1/2022,53,21,57,22
6/2/2022,48,20,56,21
6/3/2022,48,18,57,22
6/4/2022,46,10,59,23
6/5/2022,49,10,61,24
6/6/2022,47,20,58,22
6/7/2022,48,24,57,22
6/8/2022,49,22,58,24
6/9/2022,48,20,56,22
6/10/2022,49,18,53,22
6/11/2022,48,9,55,24
6/12/2022,50,9,59,25
6/13/2022,48,20,56,23
6/14/2022,49,21,58,23
6/15/2022,48,21,61,24
6/16/2022,48,21,59,22
6/17/2022,53,17,59,24
6/18/2022,45,9,56,23
6/19/2022,44,9,58,26
6/20/2022,45,16,56,25
6/21/2022,51,22,60,24
6/22/2022,49,21,57,24
6/23/2022,49,21,55,28
6/24/2022,56,18,57,25
6/25/2022,55,9,61,25
6/26/2022,48,8,64,25
6/27/2022,52,18,60,23
6/28/2022,54,21,58,25
6/29/2022,50,21,63,26
6/30/2022,54,19,57,27
7/1/2022,59,16,58,26
7/2/2022,48,8,56,24
7/3/2022,50,8,61,25
7/4/2022,50,9,61,26
7/5/2022,53,18,62,22
7/6/2022,51,20,65,27
7/7/2022,51,22,57,26
7/8/2022,58,16,55,27
7/9/2022,64,10,58,31
7/10/2022,57,15,56,33
7/11/2022,58,27,57,28
7/12/2022,55,26,56,28
7/13/2022,56,26,57,27
7/14/2022,62,25,59,25
7/15/2022,52,23,57,26
7/16/2022,51,13,57,25
7/17/2022,55,13,59,27
7/18/2022,49,25,58,25
7/19/2022,49,28,56,24
7/20/2022,49,28,55,26
7/21/2022,48,24,55,27
7/22/2022,53,21,59,26
7/23/2022,49,9,56,26
7/24/2022,46,8,58,28
7/25/2022,48,19,61,26
7/26/2022,48,20,54,28
7/27/2022,46,22,58,28
7/28/2022,49,20,58,25
7/29/2022,49,20,56,25
7/30/2022,46,9,56,25
7/31/2022,53,9,58,26
8/1/2022,49,19,59,27
8/2/2022,53,23,56,26
8/3/2022,50,20,56,27
8/4/2022,47,20,55,25
8/5/2022,49,18,55,25
8/6/2022,46,10,56,27
8/7/2022,46,9,61,27
8/8/2022,48,20,58,25
8/9/2022,61,22,59,25
8/10/2022,52,21,56,24
8/11/2022,55,22,63,25
8/12/2022,57,20,62,24
8/13/2022,57,10,55,25
8/14/2022,51,9,59,26
8/15/2022,49,21,57,25
8/16/2022,50,22,57,26
8/17/2022,47,20,55,25
8/18/2022,49,21,54,24
8/19/2022,47,19,54,26
8/20/2022,48,9,56,26
8/21/2022,48,11,57,26
8/22/2022,44,21,55,24
8/23/2022,49,22,54,23
8/24/2022,50,22,55,24
8/25/2022,49,25,56,23
8/26/2022,54,17,56,23
8/27/2022,53,9,55,26
8/28/2022,51,9,58,26
8/29/2022,50,19,55,23
8/30/2022,50,20,52,21
8/31/2022,48,22,53,23
9/1/2022,46,19,51,21
9/2/2022,49,17,52,23
9/3/2022,51,9,52,25
9/4/2022,49,8,57,25
9/5/2022,48,10,57,27
9/6/2022,46,20,56,22
9/7/2022,48,20,54,21
9/8/2022,53,19,53,22
9/9/2022,53,18,52,24
9/10/2022,49,9,53,22
9/11/2022,53,9,54,22
9/12/2022,51,18,52,21
9/13/2022,54,21,56,22
9/14/2022,48,21,55,21
9/15/2022,47,20,51,31
9/16/2022,44,17,50,21
9/17/2022,46,10,52,24
9/18/2022,52,9,54,24
9/19/2022,46,20,50,21
9/20/2022,49,22,51,23
9/21/2022,48,23,51,25
9/22/2022,46,20,55,23
9/23/2022,48,19,51,21
9/24/2022,48,9,51,22
9/25/2022,48,9,53,23
9/26/2022,44,16,51,23
9/27/2022,49,18,49,23
9/28/2022,49,21,50,23
9/29/2022,46,19,57,33
9/30/2022,48,16,58,33
10/1/2022,49,9,63,36
10/2/2022,53,9,67,38
10/3/2022,55,18,57,31
10/4/2022,66,21,67,34
10/5/2022,59,22,66,35
10/6/2022,50,20,64,34
10/7/2022,51,18,51,23
10/8/2022,50,9,49,26
10/9/2022,54,9,54,23
10/10/2022,53,19,53,22
10/11/2022,51,20,50,22
10/12/2022,48,21,50,22
10/13/2022,49,20,50,21
10/14/2022,52,17,50,23
10/15/2022,49,9,48,22
10/16/2022,52,9,52,22
10/17/2022,50,19,51,24
10/18/2022,48,21,51,24
10/19/2022,48,21,50,22
10/20/2022,47,20,47,23
10/21/2022,51,17,50,25
10/22/2022,51,9,51,25
10/23/2022,59,8,54,23
10/24/2022,52,19,51,23
10/25/2022,55,21,51,23
10/26/2022,54,21,51,22
10/27/2022,58,19,52,28
10/28/2022,100,17,50,25
10/29/2022,77,8,52,25
10/30/2022,68,9,57,24
10/31/2022,70,18,83,22
11/1/2022,76,20,57,20
11/2/2022,66,21,52,25
11/3/2022,63,20,48,24
11/4/2022,81,16,52,29
11/5/2022,69,9,53,23
11/6/2022,64,9,51,24
11/7/2022,66,17,50,23
11/8/2022,61,20,48,25
11/9/2022,61,18,47,20
11/10/2022,63,19,50,23
11/11/2022,70,17,49,23
